id,type,subtype,class_grouped,n_obs_I,I_median,I_mean,V_minus_I,log_period,I_amp,log_period2,period_ratio,has_period2,I_p95_p5,I_mad,I_kurtosis
LMC562.06.10831,OTHER,Spots,OTHER,344,18.189500000000002,18.196,1.0889999999999986,1.4172557378652137,0.132,,,0,0.186399999999999,0.03950000000000031,-0.3733856378304816
LMC563.05.8233,OTHER,,OTHER,336,13.545,13.547,1.1829999999999998,1.293671865542379,0.017,,,0,0.03300000000000125,0.006999999999999673,0.044025551069521995
LMC562.23.456,ECL,,BINARY,339,17.757,17.76,-0.08999999999999986,-0.012533055846216234,0.143,,,0,0.16549999999999798,0.030999999999998806,0.0024389581600536836
LMC563.22.11,OTHER,,OTHER,335,14.551,14.551,1.3360000000000003,1.4525530632289254,0.007,,,0,0.021300000000000097,0.0039999999999995595,0.5645467555835353
LMC562.23.11510,OTHER,Be,OTHER,345,15.135,13.184,1.7940000000000005,,,,,0,0.21380000000000088,0.041999999999999815,0.08584773746761476
LMC563.22.981,OTHER,,OTHER,336,18.6605,18.659,0.40500000000000114,0.8073455748284873,0.102,,,0,0.16225000000000023,0.03900000000000148,-0.42335038684765447
LMC562.23.870,OTHER,,OTHER,345,18.122,18.118,-0.10200000000000031,0.1893274578295176,0.064,,,0,0.102800000000002,0.02400000000000091,-0.145410403918941
LMC562.06.1297,OTHER,,OTHER,344,18.735,18.725,0.3520000000000003,-0.5730101399137771,0.124,,,0,0.18740000000000379,0.045999999999999375,-0.4241135354762604
LMC563.13.17,OTHER,,OTHER,337,13.22,13.219,0.6900000000000013,2.167317334748176,0.008,,,0,0.017999999999998906,0.0039999999999995595,3.3123812150450855
LMC562.23.11492,LPV,SRV,LPV,345,13.618,13.615,3.1029999999999998,2.1222158782728267,0.295,2.5024271199844326,2.4,1,0.4154,0.09299999999999997,-0.730607859135664
LMC563.22.8,LPV,OSARG,LPV,334,14.658,14.658,1.732000000000001,1.338595923576831,0.012,1.5198279937757189,1.5178612372174074,1,0.03470000000000084,0.006000000000000227,0.29136132140286763
LMC563.05.3046,ECL,,BINARY,332,20.3595,20.35,0.6469999999999985,0.0627737082971936,0.461,,,0,0.7881999999999962,0.13049999999999962,0.9467823583804869
LMC563.13.13,LPV,SRV,LPV,337,13.918,13.96,2.6409999999999982,2.6344772701607315,0.169,1.9425041061680808,0.20324825986078884,1,0.31460000000000043,0.051000000000000156,-0.27972701107350595
LMC563.05.40,LPV,OSARG,LPV,337,15.168,15.168,1.498000000000001,1.18514535767565,0.015,2.5854607295085006,25.137111517367458,1,0.038000000000000256,0.006999999999999673,0.3060944018378393
LMC563.30.50,LPV,OSARG,LPV,337,15.16,15.16,1.6030000000000015,1.1239169434981318,0.009,1.1726321166862932,1.1187039542925876,1,0.02919999999999945,0.006000000000000227,0.4406951536840875
LMC563.05.1236,RRLYR,RRc,PULS,337,18.705,18.693,0.41300000000000026,-0.46682172219576257,0.285,,,0,0.32760000000000034,0.09699999999999775,-1.0682251607932072
LMC562.14.10445,LPV,SRV,LPV,336,14.115,14.107,2.2490000000000023,2.2140486794119414,0.652,1.9590413923210936,0.5558949297495419,1,0.7102499999999985,0.21450000000000014,-1.2135751747042172
LMC562.14.874,ECL,,BINARY,344,17.585,17.589,0.009000000000000341,0.641476093579398,0.107,,,0,0.08569999999999922,0.013999999999999346,2.1452646187757254
LMC562.14.12898,ECL,,BINARY,345,19.977,19.986,0.24099999999999966,0.050617141783427896,0.473,,,0,0.7444000000000024,0.09700000000000131,1.4094480634522029
LMC562.23.581,OTHER,,OTHER,332,18.253500000000003,18.248,-0.03100000000000236,0.35482654484418596,0.088,,,0,0.1379000000000019,0.029500000000000526,-0.1806276900195556
LMC562.14.11132,ECL,,BINARY,345,17.895,17.913,-0.09199999999999875,0.5006082935056441,0.332,,,0,0.21799999999999997,0.015000000000000568,8.557088223829503
LMC562.14.938,OTHER,,OTHER,344,18.334,18.329,-0.04400000000000048,0.4476169001494304,0.122,,,0,0.17069999999999652,0.04100000000000037,-0.5381909363364894
LMC563.05.8268,LPV,OSARG,LPV,317,15.514,15.514,,2.3025473724874854,0.025,1.3969312748898584,0.12427503736920778,1,0.034000000000000696,0.007999999999999119,0.28654161122476873
LMC563.30.1030,ECL,,BINARY,337,18.345,18.382,0.015999999999998238,-0.07780832050361965,0.457,,,0,0.41000000000000014,0.0660000000000025,0.2083166943398731
LMC562.23.117,OTHER,,OTHER,311,16.381,16.381,1.2590000000000003,1.6478717653062325,0.015,,,0,0.030999999999998806,0.0070000000000014495,0.22948794198239097
LMC563.22.8156,RRLYR,RRab,PULS,293,18.66,18.611,1.0730000000000004,-0.24966273391510616,0.635,,,0,0.5815999999999981,0.12399999999999878,-0.750953222329807
LMC563.30.7088,ELL,,BINARY,337,17.344,17.344,1.0589999999999975,1.3686029585591826,0.117,,,0,0.12939999999999685,0.036999999999999034,-1.0683564100837688
LMC562.14.12063,OTHER,,OTHER,345,18.606,18.604,-0.03200000000000003,0.8956545498128745,0.098,,,0,0.17920000000000158,0.036999999999999034,0.8799771977995676
LMC563.05.8259,LPV,OSARG,LPV,336,14.953,14.953,1.7280000000000015,1.5207454715194824,0.018,2.04883008652835,3.373530298462466,1,0.05925000000000047,0.0129999999999999,-0.1189970827297202
LMC562.06.22,LPV,OSARG,LPV,344,13.8445,13.844,2.363999999999999,1.832253370197008,0.063,2.040602340114073,1.6156562683931726,1,0.13155000000000072,0.024999999999999467,-0.6635322569099538
LMC563.22.20,LPV,OSARG,LPV,337,13.968,13.967,2.040000000000001,1.6020599913279623,0.024,1.7359978840917938,1.36125,1,0.053000000000000824,0.012000000000000455,-0.5581163901106145
LMC563.05.450,OTHER,,OTHER,337,17.522,16.519,0.8770000000000024,,,,,0,0.18819999999999837,0.04200000000000159,-0.6843086202600848
LMC562.14.12506,ECL,,BINARY,344,18.947,18.974,-0.04200000000000159,0.18407872875745965,0.557,,,0,0.4244999999999983,0.04299999999999926,7.970720538966988
LMC562.06.540,ECL,,BINARY,344,18.031,18.065,-0.11400000000000077,0.38574404641186605,0.588,,,0,0.4466499999999982,0.020999999999997243,6.785805756076314
LMC563.30.3630,ECL,,BINARY,337,20.463,20.437,0.23499999999999943,-0.3092166901374424,0.492,,,0,0.8262,0.16400000000000148,0.45150108511019305
LMC562.14.10484,OTHER,,OTHER,345,14.935,14.937,0.963000000000001,0.5228092526036707,0.03,,,0,0.0470000000000006,0.009999999999999787,0.12710092223711422
LMC562.14.10399,LPV,OSARG,LPV,345,13.345,13.347,2.3230000000000004,1.8965262174895554,0.065,1.7327956982893291,0.6859137055837563,1,0.11899999999999977,0.023000000000001464,-0.12498849394755274
LMC563.13.16,LPV,SRV,LPV,337,13.736,13.741,2.5519999999999996,1.7774268223893113,0.078,1.927883410330707,1.4140233722871454,1,0.13399999999999856,0.025000000000000355,-0.14817395377329046
LMC562.06.794,OTHER,,OTHER,343,18.26,18.259,0.028999999999999915,1.1463451286504682,0.05,,,0,0.10289999999999822,0.019000000000001904,0.5163806191020033
LMC562.14.1725,OTHER,,OTHER,344,18.874,18.87,-0.03200000000000003,0.4677116728375461,0.094,,,0,0.16185000000000116,0.03450000000000131,0.15955441028551665
