id,ra,dec,type,subtype,I_mean,V_mean,period,I_amp,period2,class_grouped,n_obs_I,I_median,I_p95_p5,I_mad,I_kurtosis,V_minus_I,log_period,log_period2,period_ratio,has_period2,phot_I_path,phot_V_path,n_obs_I_phot,I_phot_mean,I_phot_median,I_phot_weighted_mean,I_phot_std,I_phot_mad,I_phot_p95_p5,n_obs_V,V_phot_mean,V_phot_median,V_phot_weighted_mean,V_phot_std,V_phot_mad,V_phot_p95_p5,V_minus_I_phot_mean,V_minus_I_phot_median,V_minus_I_phot_weighted_mean,ls_period_I,ls_log_period_I,ls_frequency_I,ls_power_I,ls_period_catalog_ratio,ls_log_period_delta_catalog,fourier_period_I,fourier_period_source_I,fourier_phase_coverage_I,fourier_offset_I,fourier_model_amp_I,fourier_total_amp_I,fourier_resid_std_I,fourier_chi2_red_I,fourier_var_ratio_I,fourier_A1_I,fourier_phi1_I,fourier_A2_I,fourier_phi2_I,fourier_A3_I,fourier_phi3_I,fourier_A4_I,fourier_phi4_I,fourier_R21_I,fourier_phi21_I,fourier_R31_I,fourier_phi31_I,fourier_R41_I,fourier_phi41_I,fourier_fit_quality_I,fourier_fit_reliable_I
LMC570.07.125,06:01:50.94,-67:26:58.7,ECL,,16.625,16.398,2.51466,0.124,,BINARY,322,16.622,0.0925499999999992,0.0109999999999992,5.823059805141449,-0.2270000000000003,0.4004792736441334,,,0,OGLE4-GSEP-full\phot\I\LMC570.07.125.dat,OGLE4-GSEP-full\phot\V\LMC570.07.125.dat,322,16.626947204968946,16.622,16.62611176627027,0.0263253134097174,0.0109999999999992,0.0925499999999992,28,16.40160714285714,16.4055,16.402700570529216,0.0321458934485955,0.0124999999999992,0.0829000000000022,-0.2253400621118046,-0.2164999999999999,-0.223411195741054,2.51466481916836,0.40048010593805,0.3976673123103206,0.2883045684532523,1.0000019164294018,8.32293916619431e-07,2.51466481916836,lomb_scargle,1.0,16.626360327975725,0.0718418732860488,0.0271450918408461,0.0175792707068368,2.966648568886734,0.5540824066982071,0.0193059239265872,4.162883649066919,0.0126812012016593,1.8774608579116776,0.0075423297158518,5.734571642025854,0.0121011450255424,3.5763672872423657,0.6568554423958628,6.118064174137012,0.390674372515519,5.812291309184269,0.6268099403871187,5.774388612513448,0.3720202221996138,1
LMC570.15.6992,06:01:51.29,-66:54:52.5,RRLYR,RRc,18.389,18.824,0.4320946,0.285,,PULS,328,18.383000000000003,0.3208999999999982,0.0964999999999989,-1.2477896951195262,0.4350000000000023,-0.3644211611473592,,,0,OGLE4-GSEP-full\phot\I\LMC570.15.6992.dat,,328,18.40079573170732,18.383000000000003,18.37992305318338,0.1091886300107387,0.0964999999999989,0.3208999999999982,0,,,,,,,,,,0.4320944476626225,-0.3644213142603444,2.3143088401376444,0.8423352329999293,0.9999996474443849,-1.5311298517950436e-07,0.4320944476626225,lomb_scargle,1.0,18.39338953767309,0.2814245943638058,0.141772166427131,0.0400457800421412,1.1903704562791784,0.8654887274628863,0.1410432689975105,3.838353990836575,0.0111041734392133,0.753800333421539,0.0071059812068194,3.310054802988961,0.0056873374489515,5.553233305760275,0.0787288434119412,5.6434629661075615,0.0503815691264565,4.361363444838409,0.0403233524674756,2.766187956773148,0.6737453113942784,1
LMC571.22.12,06:01:51.60,-65:29:39.1,LPV,OSARG,13.818,15.924,44.08,0.024,41.18,LPV,331,13.818,0.0564999999999997,0.0140000000000011,-0.444726109331699,2.106,1.6442415858437287,1.6146863422820126,0.9342105263157896,1,OGLE4-GSEP-full\phot\I\LMC571.22.12.dat,OGLE4-GSEP-full\phot\V\LMC571.22.12.dat,331,13.8170664652568,13.818,13.817066465256795,0.0187978510832093,0.0140000000000011,0.0564999999999997,29,15.917862068965515,15.916,15.916870280735722,0.0458224244369587,0.0300000000000011,0.1542000000000012,2.1007956037087183,2.0980000000000008,2.099803815478925,0.9755991217176054,-0.0107285993314201,1.0250111728672278,0.2390533852339602,0.022132466463648,-1.6549701851751488,0.9755991217176054,lomb_scargle,1.0,13.816584926672595,0.0340248232855854,0.013854484692051,0.0161753827706282,10.72573820698031,0.2595551387439823,0.01333531854699,4.3748024850572005,0.0014040252225213,3.7460994602669153,0.0017764488979227,5.989622048581217,0.0029981607395488,0.3227932674653238,0.1052862155166301,1.2796797973321006,0.1332138330001673,5.431585207768788,0.2248285805085321,1.673139248775282,0.13305068753014626,0
LMC571.05.5492,06:01:52.00,-66:01:20.6,OTHER,,18.402,18.916,6.931,0.123,,OTHER,331,18.408,0.1730000000000018,0.0410000000000003,1.8444623566237044,0.5139999999999993,0.8407958988470938,,,0,OGLE4-GSEP-full\phot\I\LMC571.05.5492.dat,OGLE4-GSEP-full\phot\V\LMC571.05.5492.dat,331,18.408543806646527,18.408,18.40213809010766,0.0572506481319307,0.0410000000000003,0.1730000000000018,29,18.91272413793104,18.918,18.91078657262004,0.0479522802613808,0.0279999999999986,0.1099999999999994,0.504180331284509,0.509999999999998,0.5086484825123776,6.931238995305991,0.8408108739665731,0.1442743498928871,0.5960596640186386,1.000034482081372,1.4975119479232468e-05,6.931238995305991,lomb_scargle,1.0,18.40435949844465,0.1295491750586579,0.0635436213545152,0.0360533061481307,0.9810708900740776,0.6034213066872793,0.0632844963065937,4.57384536297036,0.0039002848686187,3.4114545257607136,0.0012541228517502,0.3108017410607381,0.0040098997347899,4.682752128827047,0.0616309696094135,0.5469491069995804,0.0198172210405908,5.438821573688417,0.0633630662929382,5.236926598484367,0.3876542970550528,1
LMC570.24.3590,06:01:52.21,-66:44:05.6,OTHER,,19.832,20.204,0.0630146,0.152,,OTHER,325,19.841,0.3560000000000016,0.0740000000000016,0.2167235532668674,0.3719999999999999,-1.2005588161839846,,,0,OGLE4-GSEP-full\phot\I\LMC570.24.3590.dat,,325,19.84436923076923,19.841,19.831835333546728,0.1119217883374518,0.0740000000000016,0.3560000000000016,0,,,,,,,,,,0.0592702383656178,-1.2271633261663415,16.871874107057618,0.1966885419932776,0.9405794588177626,-0.026604509982357,0.0592702383656178,lomb_scargle,1.0,19.837134655801005,0.1661988855106801,0.0720238922428888,0.1004473529237266,0.745507237683926,0.194533076410358,0.0708989928152074,4.958358597395831,0.0055692406103477,2.0471870663099727,0.0034410110842722,2.42023792992755,0.0108589536027372,5.885545332894424,0.0785517591887872,4.696840485877483,0.0485339910715095,0.1115327520992295,0.1531609007625849,4.901666864849858,0.08807339941498313,0
LMC570.15.6130,06:01:52.38,-66:56:30.3,LPV,OSARG,13.984,16.051,36.82,0.027,47.98,LPV,327,13.984,0.0554000000000005,0.0120000000000004,0.5500769661182621,2.0669999999999984,1.566083784167996,1.6810602436318118,1.303096143400326,1,OGLE4-GSEP-full\phot\I\LMC570.15.6130.dat,OGLE4-GSEP-full\phot\V\LMC570.15.6130.dat,327,13.98422629969419,13.984,13.984226299694187,0.0181592523884845,0.0120000000000004,0.0554000000000005,29,16.052241379310345,16.05,16.051345074298293,0.0352680097583529,0.0280000000000022,0.1048000000000026,2.0680150796161545,2.0660000000000007,2.067118774604104,1.0278560685540157,0.0119323043390971,0.9728988625876352,0.194075036829606,0.0279156998520916,-1.554151479828899,1.0278560685540157,lomb_scargle,1.0,13.984509616991966,0.0227851350502814,0.0114294590532469,0.0161959163952525,10.756265757174278,0.2045459031517419,0.0111255122032712,5.2587019037319855,0.0022004461244598,6.0144955294514535,0.0009927581362353,1.5504891201849291,0.0010138937819121,0.1806222969080438,0.1977838039504278,1.7802770291670686,0.0892325780689362,4.623939330527731,0.0911323239224917,4.278555910698447,0.08446651220020711,0
LMC571.22.3925,06:01:52.55,-65:23:52.6,LPV,SRV,13.903,16.408,93.7,0.209,182.0,LPV,331,13.892,0.4054999999999999,0.0869999999999997,-0.4573543055363118,2.505000000000001,1.9717395908877784,2.2600713879850747,1.9423692636072567,1,OGLE4-GSEP-full\phot\I\LMC571.22.3925.dat,,331,13.890785498489429,13.892,13.890785498489429,0.1197526968177733,0.0869999999999997,0.4054999999999999,0,,,,,,,,,,0.4979772602600432,-0.3027904885034626,2.0081238237219927,0.3880663748423469,0.0053145918917827,-2.2745300793912406,0.4979772602600432,lomb_scargle,1.0,13.900758245339636,0.280126595375584,0.1361701282289111,0.0842076050151563,290.6837074519543,0.5055390189234419,0.1228047171330774,4.789893696471144,0.0306680340990363,1.907100739747123,0.0391383695041891,4.0147191243982725,0.0314478137363609,2.977273281062423,0.2497300984440436,4.893683961164007,0.3187041216159212,2.211408649344012,0.2560798515767314,2.667254416716606,0.31572291031464916,1
LMC570.15.1274,06:01:52.56,-67:07:10.4,ECL,,19.629,19.722,0.961833,0.608,,BINARY,323,19.598,0.7012999999999998,0.0879999999999974,1.4443485182779314,0.0929999999999999,-0.0169003265842711,,,0,OGLE4-GSEP-full\phot\I\LMC570.15.1274.dat,,323,19.670767801857583,19.598,19.60518229368073,0.2265285249690561,0.0879999999999974,0.7012999999999998,0,,,,,,,,,,0.4809170416003233,-0.3179298331531613,2.0793607077685388,0.4315789250219161,0.5000005630918499,-0.3010295065688902,0.4809170416003233,lomb_scargle,1.0,19.64285794875744,0.6075204278871863,0.2573935274966528,0.1004210852414254,0.6784750715375323,0.8034812347835655,0.1956764945837824,2.509897616384723,0.1273690524238186,4.938994035453024,0.0938748928132809,1.145875094408793,0.0540995974895066,3.690061418358479,0.6509164664603252,6.202384109863164,0.4797453726517302,6.182552859613797,0.2764746864695235,6.21684156717876,0.603851866154239,1
LMC571.30.1568,06:01:52.60,-65:15:54.0,DSCT,,19.866,20.315,0.091265,0.203,,PULS,329,19.874,0.4094000000000015,0.0899999999999998,-0.1151564357365693,0.4490000000000016,-1.0396957418648505,,,0,OGLE4-GSEP-full\phot\I\LMC571.30.1568.dat,OGLE4-GSEP-full\phot\V\LMC571.30.1568.dat,329,19.878130699088143,19.874,19.85085891260181,0.124859694183199,0.0899999999999998,0.4094000000000015,29,20.329517241379307,20.331,20.28763300834356,0.1179935290869963,0.086000000000002,0.3599999999999994,0.4513865422911607,0.4570000000000007,0.4367740957417467,0.083613759566762,-1.0777222487307545,11.959754054612768,0.213540014702952,0.9161645709391564,-0.038026506865904,0.083613759566762,lomb_scargle,1.0,19.859243108462,0.1730010459648235,0.0842280437426538,0.1103890990906155,0.8578830344914623,0.2183580775715181,0.0823913448275576,4.139041694401681,0.0107286118124692,0.653448116529223,0.0102316613011829,3.322028394669505,0.0092865303432505,1.0966034015581296,0.130215277283359,4.941735342085034,0.1241836909277002,3.4712739258236347,0.1127124501085271,3.3899925454901645,0.09593236915435122,0
LMC571.30.4379,06:01:52.67,-64:59:52.3,LPV,OSARG,15.037,16.607,20.626,0.006,288.0,LPV,300,15.036,0.0230999999999994,0.004999999999999,0.3252612532044296,1.5699999999999985,1.3144150134136665,2.459392487759231,13.962959371666829,1,OGLE4-GSEP-full\phot\I\LMC571.30.4379.dat,,300,15.036636666666666,15.036,15.036607277882796,0.0072169895860049,0.004999999999999,0.0230999999999994,0,,,,,,,,,,0.995193072196216,-0.0020926558821826,1.004830145966728,0.118202558972131,0.0482494459515279,-1.3165076692958493,0.995193072196216,lomb_scargle,1.0,15.03627277745181,0.0082389953299924,0.0035849019192154,0.0067516928843254,1.8344806905144644,0.1247881257886134,0.0033662407560313,1.8485521102317504,0.0002364523504139,1.0257680462402257,0.0010450316796512,0.8339759584074683,0.0006098721319564,2.8984347517118687,0.0702422576253052,3.611849132956311,0.3104447231764096,1.571504934891803,0.1811730580659531,1.7874116179644526,0.04728685330950475,0
LMC562.08.7926,06:01:52.87,-67:28:39.7,LPV,OSARG,14.332,16.174,27.15,0.021,36.98,LPV,330,14.332,0.0365500000000018,0.0080000000000008,0.2634882510008793,1.8419999999999987,1.4337698339248657,1.5679669068231543,1.3620626151012891,1,OGLE4-GSEP-full\phot\I\LMC562.08.7926.dat,,330,14.3325,14.332,14.3325,0.0119266374494684,0.0080000000000008,0.0365500000000018,0,,,,,,,,,,0.4902864036314498,-0.3095501502164147,2.0396241718987254,0.3002229585475346,0.0180584310729815,-1.7433199841412803,0.4902864036314498,lomb_scargle,1.0,14.332253913620193,0.0179905147299384,0.0094323879414942,0.0099124675515153,4.028231434740081,0.3092394571665934,0.0092785827033805,4.739767892718032,0.0006689033135415,4.9663682119246735,0.0009818571644255,4.692782517371967,0.001210937719774,4.292582959442667,0.0720911086235001,1.7700177336681966,0.1058197351700929,3.0398494535770446,0.1305089105185089,4.183067310109299,0.14711915457325547,0
LMC571.05.4988,06:01:52.92,-65:58:18.1,LPV,OSARG,14.604,16.117,32.64,0.019,233.5,LPV,331,14.602,0.0545000000000008,0.0120000000000004,-0.3025458924574673,1.5130000000000017,1.5137501500818236,2.368286884902131,7.153799019607843,1,OGLE4-GSEP-full\phot\I\LMC571.05.4988.dat,,331,14.603703927492443,14.602,14.603703927492448,0.0177420050192704,0.0120000000000004,0.0545000000000008,0,,,,,,,,,,1.000114343803147,4.965604387022474e-05,0.9998856692698634,0.3992204138511847,0.0306407580822042,-1.5137004940379533,1.000114343803147,lomb_scargle,0.55,14.590112163998256,0.0540473604467112,0.2680960303639693,0.012790977697461,6.706957323079731,0.4802409166404747,0.1261509848650144,5.35698701946821,0.1881999360326045,2.4885434036561973,0.1341501292498429,6.010971673843786,0.050457283062797,3.2028933544808957,1.491862598092155,4.34093997907895,1.0634092900137704,2.5063812297983272,0.399975340000619,0.6245011981468132,0.1792764951792521,0
LMC570.24.10,06:01:52.96,-66:42:06.0,ELL,,14.079,14.787,302.0,0.026,,BINARY,328,14.08,0.0326500000000002,0.0060000000000002,1.446244712382638,0.7080000000000002,2.4800069429571505,,,0,OGLE4-GSEP-full\phot\I\LMC570.24.10.dat,OGLE4-GSEP-full\phot\V\LMC570.24.10.dat,328,14.07934756097561,14.08,14.07934756097561,0.0103398486979833,0.0060000000000002,0.0326500000000002,29,14.78848275862069,14.789,14.78848275862069,0.0078450197562128,0.0039999999999995,0.0202000000000008,0.7091351976450806,0.7089999999999996,0.7091351976450806,149.5511608404727,2.1747897884449365,0.0066866749437452,0.419697686756337,0.4952025193393137,-0.305217154512214,149.5511608404727,lomb_scargle,1.0,14.078839422737962,0.0225148705025917,0.0098843887549627,0.0076539047485482,2.402056217335541,0.4520540279478136,0.0096282017325702,4.955871107479704,0.0016961039726235,1.047738769871486,0.0013911032314015,1.9773648867264,0.0004323604628078,6.063770471108527,0.1761599953692287,3.70236716927125,0.1444821442300802,5.959307485826047,0.0449056298171741,5.089841962728468,0.2690961586937764,0
LMC571.22.4399,06:01:53.08,-65:23:57.1,RRLYR,RRd,18.758,19.218,0.3615803,0.26,0.486009,PULS,331,18.775,0.4304999999999985,0.1020000000000003,-0.1283217136980847,0.4600000000000008,-0.4417952392430153,-0.3133556883217676,1.3441246660838546,1,OGLE4-GSEP-full\phot\I\LMC571.22.4399.dat,OGLE4-GSEP-full\phot\V\LMC571.22.4399.dat,331,18.76787613293052,18.775,18.74448055822288,0.1327474010639863,0.1020000000000003,0.4304999999999985,29,19.214172413793104,19.202,19.182473973692787,0.1865008749434701,0.1300000000000025,0.5688000000000031,0.4462962808625903,0.4270000000000031,0.4379934154699079,0.2653703427422316,-0.5761476146407278,3.7683186058637816,0.463544243544394,0.7339181441639149,-0.1343523753977125,0.2653703427422316,lomb_scargle,1.0,18.75651877185843,0.2629908862973791,0.1236160673565601,0.0972298961378157,4.836791207553095,0.4635273459877002,0.1223218532024038,4.783518339830832,0.009925676136395,2.33201742996903,0.014476367148497,3.2795768106997585,0.0031956353434769,5.923481611204415,0.081143931983856,5.3313513646665385,0.1183465322794224,1.4953924055664345,0.0261248113874564,5.638964173419847,0.2664843954864109,0
