id,ra,dec,type,subtype,I_mean,V_mean,period,I_amp,period2,class_grouped,n_obs_I,I_median,I_p95_p5,I_mad,I_kurtosis,V_minus_I,log_period,log_period2,period_ratio,has_period2,phot_I_path,phot_V_path,n_obs_I_phot,I_phot_mean,I_phot_median,I_phot_weighted_mean,I_phot_std,I_phot_mad,I_phot_p95_p5,n_obs_V,V_phot_mean,V_phot_median,V_phot_weighted_mean,V_phot_std,V_phot_mad,V_phot_p95_p5,V_minus_I_phot_mean,V_minus_I_phot_median,V_minus_I_phot_weighted_mean,ls_period_I,ls_log_period_I,ls_frequency_I,ls_power_I,ls_period_catalog_ratio,ls_log_period_delta_catalog
LMC562.12.10079,05:55:38.10,-67:30:56.9,OTHER,,13.546,14.641,,,,OTHER,345,13.536,0.07179999999999964,0.012000000000000455,-0.4715455027014399,1.0950000000000006,,,,0,OGLE4-GSEP-full\phot\I\LMC562.12.10079.dat,,345,13.543220289855073,13.536,13.543220289855073,0.02375537013773639,0.012000000000000455,0.07179999999999964,0,,,,,,,,,,741.4031520000002,2.8700544280562332,0.0013487938341001275,0.35699268550600366,,
LMC562.04.65,05:55:38.19,-67:57:13.1,LPV,OSARG,14.89,16.627,19.84,0.016,17.99,LPV,344,14.891,0.04085000000000072,0.007999999999999119,0.638043351835976,1.7369999999999983,1.29754166781816,1.2550311633455513,0.9067540322580644,1,OGLE4-GSEP-full\phot\I\LMC562.04.65.dat,,344,14.88998546511628,14.891,14.889988119292008,0.01275777100695236,0.007999999999999119,0.04085000000000072,0,,,,,,,,,,0.4870592198013402,-0.3124182312507716,2.053138426181268,0.17145186111103405,0.024549355836761096,-1.6099598990689317
LMC562.21.23,05:55:38.34,-67:20:16.7,LPV,OSARG,14.735,16.329,36.24,0.024,179.2,LPV,344,14.733,0.061850000000001515,0.011000000000001009,0.2764015629230885,1.5940000000000012,1.5591881890047754,2.2533380053261065,4.944812362030905,1,OGLE4-GSEP-full\phot\I\LMC562.21.23.dat,,344,14.734595930232558,14.733,14.734595930232558,0.01788828584746783,0.011000000000001009,0.061850000000001515,0,,,,,,,,,,0.5063259456962986,-0.2955698174600455,1.975012358145703,0.2430843996336322,0.013971466492723473,-1.854758006464821
LMC562.21.212,05:55:38.35,-67:24:32.7,ECL,,16.986,16.919,1.719458,0.11,,BINARY,344,16.982,0.0899499999999982,0.012000000000000455,2.8871063518888413,-0.06700000000000017,0.23539157207951497,,,0,OGLE4-GSEP-full\phot\I\LMC562.21.212.dat,,344,16.987218023255814,16.982,16.98614816138436,0.025890476217391326,0.012000000000000455,0.0899499999999982,0,,,,,,,,,,0.42985774756438366,-0.3666752413250796,2.3263509978966264,0.1826522886729019,0.249996072927855,-0.6020668134045946
LMC563.28.7055,05:55:38.43,-65:44:48.4,LPV,OSARG,14.648,16.357,19.629,0.007,14.962,LPV,337,14.648,0.028200000000000003,0.005000000000000782,0.6966920804585848,1.7089999999999996,1.2928981750180253,1.1749896504073343,0.7622395435325283,1,OGLE4-GSEP-full\phot\I\LMC563.28.7055.dat,,337,14.647833827893175,14.648,14.647833827893175,0.008553524468857232,0.005000000000000782,0.028200000000000003,0,,,,,,,,,,0.4854991828182148,-0.31381149675049475,2.0597357017064835,0.1067535641195706,0.024733770585267444,-1.60670967176852
LMC562.04.12196,05:55:38.48,-67:53:31.2,DSCT,,19.671,20.089,0.1004804,0.225,,PULS,342,19.6785,0.38264999999999816,0.09049999999999869,-0.5679865684762326,0.41799999999999926,-0.9979186447310134,,,0,OGLE4-GSEP-full\phot\I\LMC562.04.12196.dat,,342,19.67934795321637,19.6785,19.658568329878893,0.11807194478519649,0.09049999999999869,0.38264999999999816,0,,,,,,,,,,0.09128435444874057,-1.0396036513686095,10.954779776216041,0.2353165717549828,0.9084792103608325,-0.04168500663759611
LMC562.04.22,05:55:38.54,-67:58:57.4,LPV,SRV,13.709,16.725,298.0,0.272,111.8,LPV,344,13.718,0.29499999999999993,0.07249999999999979,-1.1623685316575876,3.016000000000002,2.4742162640762553,2.0484418035504044,0.3751677852348993,1,OGLE4-GSEP-full\phot\I\LMC562.04.22.dat,,344,13.734206395348837,13.718,13.734206395348837,0.09663013470311012,0.07249999999999979,0.29499999999999993,0,,,,,,,,,,0.3327986125397153,-0.477818492981078,3.004820219557444,0.5913345740042576,0.001116773867582937,-2.952034757057333
LMC562.21.11,05:55:38.59,-67:25:08.3,LPV,OSARG,14.472,16.072,20.07,0.012,387.0,LPV,344,14.472,0.02785000000000082,0.0055000000000005045,0.9259820147754447,1.5999999999999996,1.3025473724874856,2.5877109650189114,19.282511210762333,1,OGLE4-GSEP-full\phot\I\LMC562.21.11.dat,,344,14.471848837209304,14.472,14.471848837209302,0.008849591833068096,0.0055000000000005045,0.02785000000000082,0,,,,,,,,,,20.074294154479517,1.3026402837039504,0.04981495201298786,0.19430613499183771,1.000213958867938,9.291121646470835e-05
LMC562.21.16,05:55:38.72,-67:22:27.5,LPV,SRV,14.231,15.731,87.0,0.272,205.1,LPV,344,14.237,0.3468499999999999,0.08950000000000014,-0.582690084057059,1.5,1.9395192526186185,2.3119656603683665,2.357471264367816,1,OGLE4-GSEP-full\phot\I\LMC562.21.16.dat,,344,14.230802325581397,14.237,14.230802325581395,0.11515020686194405,0.08950000000000014,0.3468499999999999,0,,,,,,,,,,87.10035568694079,1.9400199285158177,0.011481009372616523,0.6903234716996144,1.0011535136429977,0.0005006758971992653
LMC563.11.8216,05:55:39.11,-66:14:31.4,ECL,,18.728,19.618,5.61012,0.726,,BINARY,331,18.667,0.5779999999999994,0.052000000000003155,2.8628470678306495,0.889999999999997,0.7489721508783456,,,0,OGLE4-GSEP-full\phot\I\LMC563.11.8216.dat,,331,18.74428398791541,18.667,18.70126617093724,0.18514506437938963,0.052000000000003155,0.5779999999999994,0,,,,,,,,,,2.805155313652386,0.4479569119361552,0.35648650009969457,0.4634101622261542,0.5000169895924482,-0.30101523894219034
LMC562.29.2983,05:55:39.26,-66:59:31.3,ECL,,20.041,20.54,4.11329,0.45,,BINARY,345,20.029,0.6016000000000048,0.08699999999999974,5.501365606226607,0.4989999999999988,0.6141893297279625,,,0,OGLE4-GSEP-full\phot\I\LMC562.29.2983.dat,,345,20.065240579710146,20.029,20.023929678744928,0.18959178172414912,0.08699999999999974,0.6016000000000048,0,,,,,,,,,,2.056428187616986,0.3131135481431656,0.48628004907811156,0.11082072842510084,0.49994728978919206,-0.30107578158479686
LMC562.29.1402,05:55:39.33,-66:59:21.7,ECL,,18.715,18.772,1.299038,0.242,,BINARY,345,18.697,0.2444000000000024,0.036999999999999034,1.606411004065941,0.05699999999999861,0.11362185542170443,,,0,OGLE4-GSEP-full\phot\I\LMC562.29.1402.dat,,345,18.717976811594202,18.697,18.709731515137417,0.07812817090295743,0.036999999999999034,0.2444000000000024,0,,,,,,,,,,0.6495183753571216,-0.18740855790378574,1.5396023237220575,0.3441737648542214,0.49999951914964896,-0.3010304133254902
