id,ra,dec,type,subtype,I_mean,V_mean,period,I_amp,period2,class_grouped,n_obs_I,I_median,I_p95_p5,I_mad,I_kurtosis,V_minus_I,log_period,log_period2,period_ratio,has_period2,phot_I_path,phot_V_path,n_obs_I_phot,I_phot_mean,I_phot_median,I_phot_weighted_mean,I_phot_std,I_phot_mad,I_phot_p95_p5,n_obs_V,V_phot_mean,V_phot_median,V_phot_weighted_mean,V_phot_std,V_phot_mad,V_phot_p95_p5,V_minus_I_phot_mean,V_minus_I_phot_median,V_minus_I_phot_weighted_mean,ls_period_I,ls_log_period_I,ls_frequency_I,ls_power_I,ls_period_catalog_ratio,ls_log_period_delta_catalog,fourier_period_I,fourier_period_source_I,fourier_phase_coverage_I,fourier_offset_I,fourier_model_amp_I,fourier_total_amp_I,fourier_resid_std_I,fourier_chi2_red_I,fourier_var_ratio_I,fourier_A1_I,fourier_phi1_I,fourier_A2_I,fourier_phi2_I,fourier_A3_I,fourier_phi3_I,fourier_A4_I,fourier_phi4_I,fourier_R21_I,fourier_phi21_I,fourier_R31_I,fourier_phi31_I,fourier_R41_I,fourier_phi41_I,sample_type
LMC571.28.403,06:05:42.44,-65:14:03.9,OTHER,,18.118,20.498,,,,OTHER,332,18.384500000000003,0.5074499999999986,0.0865000000000009,-0.9220898613698632,2.3800000000000026,,,,0,OGLE4-GSEP-full\phot\I\LMC571.28.403.dat,OGLE4-GSEP-full\phot\V\LMC571.28.403.dat,332,18.30937951807229,18.384500000000003,18.26686404267482,0.175840649682415,0.0865000000000009,0.5074499999999986,29,20.490655172413792,20.491,20.499190456368595,0.1334638195654723,0.0539999999999984,0.4517999999999986,2.1812756543415013,2.106499999999997,2.2323264136937766,741.3948989999999,2.87004959363882,0.0013488088484946,0.5498135001973932,,,741.3948989999999,lomb_scargle,0.9,18.274576476521705,0.480203066337154,0.2127429513243364,0.0344324296616743,1.1726693978201674,0.9616560562739072,0.2017057156060747,0.0971757636865001,0.0553412966117277,2.989296346294334,0.0374492527865931,0.2484440860257783,0.0104528457890124,3.796546507709914,0.2743665267265289,2.794944818921333,0.1856628240507096,6.2401021021458645,0.0518222587674537,3.407843452963913,best
LMC562.20.9179,05:57:28.22,-67:16:17.0,OTHER,Spots,17.385,18.489,26.12,0.246,,OTHER,342,17.372500000000002,0.2539499999999997,0.0685000000000037,-1.1471698084816928,1.1039999999999992,1.4169731726030363,,,0,OGLE4-GSEP-full\phot\I\LMC562.20.9179.dat,,342,17.389979532163743,17.372500000000002,17.379009748437117,0.0872333113336419,0.0685000000000037,0.2539499999999997,0,,,,,,,,,,26.11845298630332,1.416947449807904,0.0382871068406848,0.8783487601543555,0.9999407728293764,-2.5722795132354648e-05,26.11845298630332,lomb_scargle,1.0,17.387780701500386,0.2382108522971726,0.1199615944343936,0.0215330472152518,3.040278680892728,0.9390678828283484,0.1173835092590563,5.828021202859824,0.0246515295674612,5.488408855821669,0.0017318393617744,4.372210182264252,0.0010948587491383,3.488014006421345,0.21000845623943,0.115551757281608,0.0147536853575605,5.737702495223537,0.0093271938796961,5.308670423700395,best
LMC562.18.1655,06:00:21.57,-67:25:10.9,ECL,,19.628,20.266,12.187,0.285,,BINARY,345,19.632,0.4522000000000012,0.0619999999999976,117.32442809452466,0.6379999999999981,1.085896811131588,,,0,OGLE4-GSEP-full\phot\I\LMC562.18.1655.dat,,345,19.653721739130432,19.632,18.622604614225672,0.2724785103909546,0.0619999999999976,0.4522000000000012,0,,,,,,,,,,0.8571330047112719,-0.0669517816587529,1.1666800770749148,0.0703893523423681,0.0703317473300461,-1.1528485927903411,0.8571330047112719,lomb_scargle,1.0,19.46763675194717,2.03506583837911,0.7358150043987776,0.4886378322294115,130.77339310481057,-2.215952789366062,0.3790629028461414,2.5577002279889016,0.3434454169942866,1.9230602662911689,0.3688930887912311,1.35765335863779,0.3790754159424152,0.8005603025632135,0.9060380596876512,3.090845117492952,0.9731711703293788,6.250923289030258,1.000033010606366,3.1361300049667804,worst
LMC570.26.1344,06:09:58.52,-66:23:02.5,OTHER,,19.101,19.33,0.252734,0.111,,OTHER,329,19.102,0.215799999999998,0.0440000000000004,69.9570968444848,0.2289999999999992,-0.5973363290372944,,,0,OGLE4-GSEP-full\phot\I\LMC570.26.1344.dat,OGLE4-GSEP-full\phot\V\LMC570.26.1344.dat,329,19.101434650455925,19.102,19.05808529870328,0.1020668845298835,0.0440000000000004,0.215799999999998,29,19.33358620689655,19.33,19.33158067087596,0.0637716446400636,0.036999999999999,0.1859999999999999,0.2321515564406233,0.2279999999999979,0.2734953721726825,0.2527387444897585,-0.5973281762506443,3.9566549324237936,0.1169650478733349,1.0000187726612113,8.152786650117427e-06,0.2527387444897585,lomb_scargle,1.0,19.064844186773332,0.3193093919337192,0.1045604906382639,0.1285132650760614,15.981203448869152,-0.5853538001794039,0.0048777269901868,5.850824664048402,0.0602794310024228,0.4379387176367419,0.0665615868563019,2.499773982241433,0.0533390038819511,4.576331639851833,12.358098582330504,1.30266000389911,13.646025493065302,3.796855911634985,10.935217159398324,0.0225889051969829,worst
LMC562.03.8712,05:56:43.55,-67:55:30.8,OTHER,,17.601,17.49,4.6155,0.047,,OTHER,329,17.603,0.0916000000000032,0.0180000000000006,78.18695288167648,-0.1110000000000006,0.6642187553031397,,,0,OGLE4-GSEP-full\phot\I\LMC562.03.8712.dat,OGLE4-GSEP-full\phot\V\LMC562.03.8712.dat,329,17.620799392097265,17.603,17.603843510441017,0.1423464808465085,0.0180000000000006,0.0916000000000032,29,17.490137931034486,17.492,17.4879765743349,0.0213235686807062,0.0150000000000005,0.0638000000000005,-0.1306614610627789,-0.1110000000000006,-0.1158669361061157,0.2493003277010023,-0.6032771506232082,4.011226175359655,0.0358063726758467,0.0540137206588673,-1.267495905926348,0.2493003277010023,lomb_scargle,1.0,17.601087506364877,0.0445701481137493,0.0165080844930107,0.1414329836248623,15.976331155365802,0.0127936576772571,0.0114380934288415,0.0351496937108954,0.0059568102848131,0.1464238821420553,0.0096452639166334,1.6734908938566926,0.0036293480889417,3.1675581664063914,0.5207869932057795,0.0761244947202644,0.8432580111920163,1.568041812724006,0.3173035883576765,3.026959391562809,worst
LMC563.22.349,05:52:08.11,-66:12:13.2,OTHER,,17.882,18.972,0.96153,0.031,,OTHER,335,17.882,0.2441000000000031,0.0190000000000019,18.01988991960856,1.09,-0.017037161107037,,,0,OGLE4-GSEP-full\phot\I\LMC563.22.349.dat,OGLE4-GSEP-full\phot\V\LMC563.22.349.dat,335,17.90394029850746,17.882,17.896055241260814,0.0900833414184233,0.0190000000000019,0.2441000000000031,29,19.05506896551724,18.982,19.01686600253849,0.2985767346972348,0.0359999999999978,0.6027999999999984,1.1511286670097751,1.099999999999998,1.1208107612776743,1.000309043447379,0.0001341951288702,0.9996910520309664,0.0786682245548197,1.040330560094203,0.0171713562359073,1.000309043447379,lomb_scargle,0.7,17.77135873887008,0.0529714389966967,0.2829520273855439,0.0887710282028731,22.18157096929456,0.0289233160720913,0.2170693962871195,0.9098447459633012,0.1512992091093331,5.116504687398028,0.0940711076629146,2.9294921421481277,0.0346684730424873,0.7401401466652471,0.6970084760783521,3.2968151954714253,0.4333688178617587,0.1999579042582233,0.1597114730840777,3.383946469991628,worst
LMC570.20.12,06:07:16.78,-66:50:12.5,LPV,OSARG,15.227,16.588,13.056,0.004,49.91,LPV,326,15.227,0.0247500000000009,0.004999999999999,3.4951426565876,1.3610000000000009,1.1158101414097858,1.6981875698661224,3.822763480392157,1,OGLE4-GSEP-full\phot\I\LMC570.20.12.dat,OGLE4-GSEP-full\phot\V\LMC570.20.12.dat,326,15.226868098159509,15.227,15.226576545137297,0.0082539180851574,0.004999999999999,0.0247500000000009,29,16.586896551724138,16.589,16.587371345029243,0.0165580037348928,0.0100000000000015,0.0362000000000009,1.3600284535646292,1.3619999999999983,1.3607947998919483,1.0207302750580096,0.0089109962205727,0.9796907414577946,0.0583618048222964,0.0781809340577519,-1.1068991451892132,1.0207302750580096,lomb_scargle,1.0,15.226443178929802,0.006702820434589,0.0030239741513529,0.0079950968266088,2.211863545921023,0.0617314776917926,0.002952675917368,1.7808977356029312,0.0001617718880942,4.105598204154594,0.0001511923440908,1.4698162157020849,0.0006140808793277,3.060733585408705,0.0547882302770302,0.5438027329487318,0.0512051943125745,2.4103083160728773,0.2079743583492099,2.220327950176567,worst
LMC571.11.4752,06:05:12.25,-65:39:18.2,ECL,,17.103,17.934,47.203,0.059,,BINARY,332,17.101,0.0488999999999997,0.0090000000000003,13.158346737016918,0.8309999999999995,1.6739696012197292,,,0,OGLE4-GSEP-full\phot\I\LMC571.11.4752.dat,OGLE4-GSEP-full\phot\V\LMC571.11.4752.dat,332,17.101939759036142,17.101,17.100825058789304,0.0188808311799156,0.0090000000000003,0.0488999999999997,29,17.937,17.93,17.93647227763019,0.026372333988481,0.0079999999999991,0.0558000000000014,0.835060240963859,0.8290000000000006,0.8356472188408866,0.051454083761779,-1.2885801508369572,19.434803360405315,0.0573581894124305,0.0010900596098082,-2.9625497520566864,0.051454083761779,lomb_scargle,1.0,17.101118520062318,0.0174898535906468,0.0073689635865079,0.0182792636675268,1.9790642407885888,0.0627074253522083,0.0067461482849946,3.595416694047607,0.0004718742728954,0.0050579957454176,0.0011311000233025,1.4419569151235512,0.0026998250061825,1.167432847802922,0.0699472132779876,5.380595222009376,0.1676660481683227,3.2220774473399025,0.400202440285477,5.635321993151253,worst
LMC563.24.25,05:48:46.22,-66:11:23.1,LPV,OSARG,14.988,16.579,10.867,0.004,18.496,LPV,336,14.987,0.0199999999999995,0.0039999999999995,1.0020883130160034,1.591000000000001,1.0361096670605796,1.267077816740435,1.7020336799484677,1,OGLE4-GSEP-full\phot\I\LMC563.24.25.dat,,336,14.98773511904762,14.987,14.98773511904762,0.0061424448424468,0.0039999999999995,0.0199999999999995,0,,,,,,,,,,0.3231174936737638,-0.4906395285180499,3.094849457484502,0.0577379253518196,0.0297338266010641,-1.5267491955786294,0.3231174936737638,lomb_scargle,1.0,14.987744023802913,0.0048917687034618,0.0021165786766158,0.0059460560250725,1.4488220250588624,0.062922601536713,0.0020353870317191,0.135060231674038,0.0004544585609076,3.138973540172988,0.0001678815403701,0.9233321427038952,0.0003199814529547,3.4831178387325505,0.2232786953171104,2.8688530768249114,0.0824813845002924,0.518151447681781,0.1572091439948338,2.9428769120363985,worst
LMC570.25.5849,06:00:12.77,-66:40:07.6,LPV,OSARG,15.566,16.964,10.56,0.005,167.3,LPV,330,15.566,0.0215500000000012,0.004999999999999,0.9766756953878516,1.397999999999998,1.0236639181977936,2.2234959409623944,15.842803030303031,1,OGLE4-GSEP-full\phot\I\LMC570.25.5849.dat,OGLE4-GSEP-full\phot\V\LMC570.25.5849.dat,330,15.56578181818182,15.566,15.565637136487734,0.0068935216733587,0.004999999999999,0.0215500000000012,29,16.961448275862068,16.964,16.96453063449388,0.0154771403017865,0.0090000000000003,0.0466000000000015,1.3956664576802478,1.397999999999998,1.3988934980061458,10.559162960840814,1.023629492450065,0.0947044764541043,0.0607866297087349,0.9999207349281072,-3.4425747728494827e-05,10.559162960840814,lomb_scargle,1.0,15.565763340276074,0.0048754902655965,0.0024632064771484,0.0066724439605016,1.2676909112903374,0.0631122095170679,0.0024206963613297,0.6421464007085544,0.0001771080027939,4.3538335850720165,0.0002212454684068,5.590011150194328,0.0003567891160993,1.878039262866547,0.0731640719683926,3.069540783654908,0.0913974474209996,3.6635719480686646,0.147391106872794,5.592638967211915,worst
LMC562.11.1616,05:56:28.18,-67:39:23.0,ECL,,19.772,21.07,3.26042,0.282,,BINARY,345,19.776,0.4642000000000017,0.0800000000000018,7.137198867615976,1.2980000000000018,0.5132735485137911,,,0,OGLE4-GSEP-full\phot\I\LMC562.11.1616.dat,,345,19.797776811594204,19.776,19.766501254186945,0.1652498620350262,0.0800000000000018,0.4642000000000017,0,,,,,,,,,,4.456865998621908,0.6490295766632611,0.2243729114380388,0.0781695260007658,1.366960697892268,0.1357560281494699,4.456865998621908,lomb_scargle,1.0,19.76908969928205,0.1059772562905766,0.043215832665949,0.1597652859575826,1.884787318985195,0.0652776417513681,0.039118886531301,4.394500303509746,0.0108960638617407,1.049599026376142,0.0037205368339146,1.590798246886684,0.0143092385384703,1.8207861090606177,0.2785371677954656,4.826969033715822,0.0951084543507567,0.9736679507166172,0.3657884926510055,3.0923408165603927,worst
LMC562.27.5330,05:58:50.46,-67:04:12.7,DSCT,,20.316,20.796,0.0697398,0.168,,PULS,342,20.3405,0.5296500000000002,0.105500000000001,1.7009226263589303,0.4800000000000004,-1.1565193024292268,,,0,OGLE4-GSEP-full\phot\I\LMC562.27.5330.dat,,342,20.34561988304094,20.3405,20.31139182390221,0.1675574623262658,0.105500000000001,0.5296500000000002,0,,,,,,,,,,0.0749831397124331,-1.1250363786485782,13.336331391764697,0.0984606970557002,1.0751843239073406,0.0314829237806486,0.0749831397124331,lomb_scargle,1.0,20.316995849592505,0.1990921876283781,0.0900134430631604,0.1587066567452953,1.345396454829474,0.1028548007602881,0.0815784676265973,2.001400582601036,0.029881262013329,1.890667392658813,0.018595302895302,3.3723523258329084,0.0144463989458889,3.7636660195039946,0.3662885916183438,4.171051534636328,0.2279437630578798,3.651335885209388,0.1770859316947862,2.041248996279438,worst
LMC571.19.5410,06:06:49.98,-65:24:34.9,DSCT,,20.327,20.814,0.071541,0.237,,PULS,331,20.361,0.579500000000003,0.1170000000000008,2.793735909557317,0.4869999999999983,-1.1454449935769486,,,0,OGLE4-GSEP-full\phot\I\LMC571.19.5410.dat,OGLE4-GSEP-full\phot\V\LMC571.19.5410.dat,331,20.372610271903326,20.361,20.31762702398196,0.1876550730452625,0.1170000000000008,0.579500000000003,29,20.825172413793105,20.873,20.74315408747789,0.2083520490772288,0.125,0.5786000000000016,0.4525621418897785,0.5120000000000005,0.4255270634959345,0.0667647901979526,-1.1754525113890428,14.97795465297014,0.1093559616024873,0.933238145929644,-0.0300075178120942,0.0667647901979526,lomb_scargle,1.0,20.323960135820425,0.1722928568766892,0.0898076727456328,0.177194061290208,0.8289103435227616,0.1083843035083571,0.0848802815392251,1.1631425611078634,0.0272572549999353,5.6561455321147776,0.0053947599681189,0.2434904586371626,0.009417775988175,3.987628675066724,0.321125878774791,3.3298604098990507,0.0635572817418837,3.0372480824931585,0.1109536374926243,5.618243737814857,worst
LMC571.16.3561,05:57:42.84,-65:45:44.9,DSCT,F/1O,20.156,20.547,0.0913978,0.105,0.0722326,PULS,329,20.162,0.5088000000000008,0.0929999999999999,0.320537845369528,0.3910000000000018,-1.039064257869661,-1.1412667525032605,0.7903100512266159,1,OGLE4-GSEP-full\phot\I\LMC571.16.3561.dat,OGLE4-GSEP-full\phot\V\LMC571.16.3561.dat,329,20.169,20.162,20.14269092411824,0.1509214583330211,0.0929999999999999,0.5088000000000008,29,20.617620689655165,20.615,20.557891503092804,0.1707122503331062,0.0670000000000001,0.5641999999999996,0.448620689655165,0.4529999999999994,0.415200578974563,0.0631048230288622,-1.1999374468608677,15.846649305119364,0.0944455016756815,0.6904413785546505,-0.1608731889912065,0.0631048230288622,lomb_scargle,1.0,20.142069737348315,0.135855771923563,0.064481872767417,0.142282925692646,0.767368894567239,0.1112009383652454,0.0600554037917253,1.4054038312148167,0.0200232631622273,0.1549636537045925,0.0087819990120354,5.671507879739659,0.0085560397787167,5.526930737167824,0.3334131801306154,3.6273412984545454,0.1462316204298914,1.4552963860952088,0.1424691074992936,6.188500719488143,worst
