feature,mutual_info,rank_mutual_info,rf_importance,rank_random_forest,permutation_f1_drop,permutation_std,rank_permutation,avg_rank,top15_votes,origin,catalog_period_dependent
I_phot_std,0.41434658097696575,25,0.018621724950800996,17,-0.0006883684527720646,0.0009575902413045874,49,30.333333333333332,0,Fotometria I/V,False
I_p95_p5,0.3927910658948799,31,0.01713038064524581,18,-0.0004565046450987903,0.0006819583894746896,42,30.333333333333332,0,Catalogo/base,False
fourier_period_I,0.495407135552244,19,0.010098445909903374,28,-0.000579360630506634,0.0004531040501746732,45,30.666666666666668,0,Fourier,False
I_phot_mad,0.4054570404643787,26,0.018749470643918322,16,-0.0008931977361167076,0.0008416640780291062,52,31.333333333333332,0,Fotometria I/V,False
I_phot_p95_p5,0.3951084555471831,29,0.015116368678658681,20,-0.000612284347251843,0.0007332058827757517,47,32.0,0,Fotometria I/V,False
fourier_A3_I,0.23831763192958522,40,0.011748911377687325,25,-0.0005903942522307026,0.001082796960332795,46,37.0,0,Fourier,False
fourier_phi31_I,0.10364543729171949,49,0.0029367348320533137,46,0.0006192588417893441,0.0007141457307858025,16,37.0,0,Fourier,False
fourier_total_amp_I,0.37898418702384107,32,0.011811222547940656,24,-0.0016409079642093899,0.0006369177735220663,59,38.333333333333336,0,Fourier,False
V_phot_weighted_mean,0.32596311845238635,33,0.0027619756762007315,47,-0.0002345089747078366,0.0004271605392652062,35,38.333333333333336,0,Fotometria I/V,False
V_phot_mean,0.31967560544155527,34,0.0024034379542787307,48,-0.00016839780195734844,0.0002916735488730492,34,38.666666666666664,0,Fotometria I/V,False
V_phot_mad,0.1656585182594621,44,0.0033454879277618256,45,-8.419890097867422e-05,0.00022276935265452496,31,40.0,0,Fotometria I/V,False
V_phot_median,0.30874766998141934,35,0.0020555143261357664,51,-0.00025258901013856805,0.0004687816786825171,36,40.666666666666664,0,Fotometria I/V,False
fourier_A2_I,0.27979109130210245,37,0.008379444059797575,33,-0.001237991765740007,0.00040243068148967205,55,41.666666666666664,0,Fourier,False
V_phot_p95_p5,0.18282658509013894,42,0.002180267918710671,50,-0.00033679560391469687,0.00033679560391469687,38,43.333333333333336,0,Fotometria I/V,False
n_obs_I,0.05508105274940425,53,0.0011826008522185082,58,0.0,0.0,24,45.0,0,Catalogo/base,False
fourier_chi2_red_I,0.12814946213635547,47,0.0052245011092220146,42,-0.000673818136721821,0.0007757719405437066,48,45.666666666666664,0,Fourier,False
fourier_R21_I,0.10396505043684945,48,0.008170075796046474,36,-0.001027370936178898,0.0008372973899081947,53,45.666666666666664,0,Fourier,False
fourier_phase_coverage_I,0.06161079847403661,52,0.0019411492387179739,52,-0.00016743551168196813,0.00029000681322446107,33,45.666666666666664,0,Fourier,False
fourier_A4_I,0.20517978432874617,41,0.005213827138977733,43,-0.0011144975956355052,0.0007000481306111073,54,46.0,0,Fourier,False
fourier_phi2_I,0.020722772784407262,56,0.001300611713719713,56,0.0,0.0,26,46.0,0,Fourier,False
n_obs_V,0.0058001841864775815,58,0.00018098814223617638,60,0.0,0.0,25,47.666666666666664,0,Fotometria I/V,False
fourier_phi3_I,0.0,59,0.001635321224095166,54,-8.371775584098406e-05,0.00022149636227566886,30,47.666666666666664,0,Fourier,False
fourier_phi41_I,0.044000075285068,55,0.0019212514266285844,53,-0.0004200468785121869,0.0004676201745288946,41,49.666666666666664,0,Fourier,False
V_phot_std,0.1697274469401444,43,0.0023207972957567666,49,-0.001513725574934205,0.0005568538088421215,58,50.0,0,Fotometria I/V,False
n_obs_I_phot,0.05508105274940425,54,0.0011606819052488587,59,-0.0004200468785121869,0.0004676201745288946,40,51.0,0,Fotometria I/V,False
fourier_phi4_I,0.008132111229743444,57,0.0012351746867941926,57,-0.0005037422776615202,0.0004449821248553464,43,52.333333333333336,0,Fourier,False
fourier_phi1_I,0.0,60,0.0014561623919950703,55,-0.0005046906273013102,0.00044397364900769076,44,53.0,0,Fourier,False
