PC1,PC2,class_grouped,id,type,misclassified_best_model
-0.9407332394543042,-2.0143096624353163,PULS,LMC562.18.8856,RRLYR,False
-2.979893844988807,-0.32110902648282286,BINARY,LMC571.15.7365,ECL,False
25.24347242249345,-28.16420162477639,LPV,LMC563.17.5,LPV,False
-3.003842673453047,-0.2758069150313226,BINARY,LMC571.32.4911,ECL,False
-2.2993587014149672,-0.8813262041709431,PULS,LMC570.25.791,RRLYR,False
-2.2913437542551893,-0.8728235925379587,PULS,LMC570.25.815,RRLYR,False
6.7507779624627835,9.992108632739614,LPV,LMC571.32.29,LPV,False
-1.7009929957325705,-1.3917056118146482,PULS,LMC571.24.868,RRLYR,False
-2.307676145595236,-0.8449729315530059,PULS,LMC562.26.9025,RRLYR,False
-2.696037480532623,-0.505146725223322,BINARY,LMC563.08.7298,ECL,False
-3.481688099951147,-2.2973502049712007,LPV,LMC571.24.9,LPV,False
-2.3035158734198786,-0.8558510191660013,BINARY,LMC570.25.6621,ECL,False
-2.943974934843297,-0.3226877284357257,BINARY,LMC562.18.8991,ECL,False
6.1985844846646065,10.904446939356292,LPV,LMC563.08.31,LPV,False
-5.112381051005782,-2.8358306187908244,LPV,LMC563.17.31,LPV,False
-2.671835218048716,-0.5433625881758283,BINARY,LMC562.09.734,ECL,False
-2.704884098997848,-0.5076333515506477,BINARY,LMC571.15.425,ECL,False
10.963379242140416,15.967763120703939,LPV,LMC562.09.51,LPV,False
-2.8059912568539285,-0.4066917486566536,BINARY,LMC562.01.8061,ECL,False
-2.729448952648387,-0.5092415477317576,BINARY,LMC562.09.10781,ECL,False
-2.3189787169998497,-0.8370275197218331,PULS,LMC562.26.40,DCEP,False
-2.6396573980756046,-0.5970656974462091,BINARY,LMC562.18.2256,ECL,False
-2.5642002332418903,-0.6170578823614724,BINARY,LMC562.01.8838,ECL,False
-4.7747280578117,-2.2956871546825233,LPV,LMC562.26.8057,LPV,False
-3.099388556499652,-0.28831456929534927,LPV,LMC570.25.1,LPV,False
-2.7124227847136395,-0.5409352038606949,BINARY,LMC562.01.5097,ECL,False
-4.866635422120467,-2.516414544285693,LPV,LMC562.18.7980,LPV,False
-2.3044567694095273,-0.8758020718888033,PULS,LMC562.09.8213,DCEP,False
13.316390998361602,-5.067292999308741,LPV,LMC562.09.9,LPV,False
-0.052670868756061306,3.305922504687447,LPV,LMC563.08.32,LPV,False
0.9112923559358701,4.656313273737699,LPV,LMC562.01.6,LPV,False
-2.8671605916887812,0.29677191774496303,LPV,LMC571.15.4716,LPV,False
-4.7465214413666,-2.377620627008269,LPV,LMC570.25.26,LPV,False
-4.76885949080498,-1.9051580279894207,LPV,LMC562.09.8202,LPV,False
13.779889563013349,-5.989215271174403,LPV,LMC562.09.21,LPV,False
-2.5061328155872418,-0.6917072939530506,PULS,LMC571.15.5344,RRLYR,False
-5.611971258647209,-2.979567169860424,LPV,LMC562.01.56,LPV,False
7.664759638099436,-1.9967716512883993,LPV,LMC563.08.6,LPV,False
-2.1521710567251504,-0.45723288980401183,LPV,LMC562.01.7878,LPV,False
-4.591362780912934,-2.069867708848358,LPV,LMC563.17.5834,LPV,False
-3.032239680854789,-0.2794395252529578,BINARY,LMC562.01.8336,ECL,False
-2.847035349638661,-0.40664444135483624,BINARY,LMC563.08.7844,ECL,False
-4.882410528610933,-2.4853701969337134,LPV,LMC562.18.34,LPV,False
-4.344946235401968,-1.938844175042602,LPV,LMC570.16.38,LPV,False
-2.2671822575407607,-5.390542503079183,LPV,LMC571.32.17,LPV,False
13.625260489526166,19.203682317021105,LPV,LMC562.18.17,LPV,False
-2.24874019986534,-0.8541540774158101,BINARY,LMC571.24.4796,ECL,False
-2.295669531364984,-0.8776520010307383,PULS,LMC571.32.4554,RRLYR,False
10.029747783530162,-3.5283317878865725,LPV,LMC571.24.4633,LPV,False
-3.0612259539641364,-0.2461188642357816,BINARY,LMC570.16.8170,ECL,False
17.762661131477525,-19.608729296147207,LPV,LMC562.18.7989,LPV,False
-4.8270525570116485,-2.4345266292087206,LPV,LMC571.24.4639,LPV,False
-2.666978665745355,-0.5373210066473224,BINARY,LMC563.08.572,ECL,False
10.305709813629893,15.529101978525546,LPV,LMC571.15.14,LPV,False
-2.72209694050594,-0.4897450088997316,BINARY,LMC562.01.614,ECL,False
5.30057077614333,9.41320678807355,LPV,LMC562.26.8104,LPV,False
-2.6909247254328763,-0.5597360221881563,BINARY,LMC562.26.8918,ECL,False
-2.854619216059186,-1.0689932976254806,LPV,LMC563.17.47,LPV,False
-4.189746429645358,-3.173520755609066,LPV,LMC562.18.63,LPV,False
-3.0791259950254517,-1.84486233507005,LPV,LMC562.18.8,LPV,False
-2.704659205557971,-0.49771193836491984,BINARY,LMC562.18.1000,ECL,False
-4.13891857595686,-1.3753239246474165,LPV,LMC563.08.6563,LPV,False
-2.3400877493880046,-0.9727911850033205,BINARY,LMC562.09.9071,ECL,False
-2.643341559188995,-0.587404525452525,BINARY,LMC571.15.1018,ECL,False
-2.873044007431787,-0.3759454933096057,BINARY,LMC562.09.9017,ECL,False
-2.731975744084514,-0.5321540321127376,BINARY,LMC571.24.7215,ECL,False
2.7307912931210527,6.825737279267562,LPV,LMC562.09.8214,LPV,False
-1.8567750092334354,-1.1969420812311022,PULS,LMC571.24.212,RRLYR,False
-4.844204528119901,-2.3575212110129202,LPV,LMC562.01.7887,LPV,False
-3.6554425825121153,-0.9946932719841437,LPV,LMC562.26.7,LPV,False
9.668001555924686,14.575731816486392,LPV,LMC562.26.52,LPV,False
6.389778593926764,-0.7574936258676852,LPV,LMC562.01.7872,LPV,False
-1.245912896411085,-1.7700522842681692,PULS,LMC563.08.728,RRLYR,False
-2.317518689445427,-0.8461233804097712,PULS,LMC562.09.1263,RRLYR,False
4.042439870078905,-4.044132643700479,LPV,LMC571.15.23,LPV,False
-2.7668166793752653,-0.5308211747622825,BINARY,LMC571.15.5506,ECL,False
31.226974353580722,5.5930923595815925,LPV,LMC562.18.8004,LPV,False
-2.6926491581166765,-0.5916356543961718,BINARY,LMC571.15.2786,ECL,False
4.036458665242417,8.374052527381068,LPV,LMC563.17.24,LPV,False
-4.692287576247785,-2.2873773729143334,LPV,LMC570.25.5824,LPV,False
-4.749707003382584,-2.256308385166835,LPV,LMC563.08.6574,LPV,False
-2.5999887068363434,-0.6159386533254821,PULS,LMC571.32.4435,RRLYR,False
9.820191351656234,14.912236351814226,LPV,LMC562.09.41,LPV,False
-4.2809980359585955,-2.9345005377316182,LPV,LMC562.26.8075,LPV,False
-2.252767937011395,-1.0026308372402966,BINARY,LMC571.32.2003,ECL,False
32.46499848315023,-18.45658169025392,LPV,LMC563.08.6584,LPV,False
-3.9274787055801585,-1.3682876293764608,LPV,LMC571.15.25,LPV,False
-4.812564108308382,-2.3429430306226404,LPV,LMC563.08.13,LPV,False
-2.30475551480752,-0.8894120934887298,PULS,LMC562.18.940,RRLYR,False
-2.2869895244139298,-0.5035184996611768,LPV,LMC562.09.13,LPV,False
18.55502821557526,24.770819294348378,LPV,LMC563.17.5849,LPV,False
-3.035057304319573,-0.2607155811770189,BINARY,LMC563.17.6440,ECL,False
-2.608048763491704,-0.6092590913426744,PULS,LMC570.25.6639,RRLYR,False
-2.3037791317939313,-0.8631951456481248,PULS,LMC562.01.765,RRLYR,False
-4.468480065014537,-1.9187992881432887,LPV,LMC571.32.19,LPV,False
-4.906499028275642,-2.6699560735930863,PULS,LMC562.09.39,DCEP,False
-2.6975042726500615,-0.4955916042605529,BINARY,LMC562.01.1001,ECL,False
-2.12930002476264,-1.01705749349715,PULS,LMC563.08.2301,DSCT,False
-4.920322447622496,-3.8830679665372054,LPV,LMC562.01.22,LPV,False
-2.637639966301274,-0.5634019325128138,PULS,LMC562.01.8843,RRLYR,False
-3.5697247091095266,-0.45201744736406496,LPV,LMC562.09.1053,LPV,False
-1.8886979912363664,-4.448268675968009,PULS,LMC570.25.492,RRLYR,False
-2.3121035882466128,-0.9061908720839293,PULS,LMC563.08.9987,DSCT,False
2.1689665029776606,6.210245909312028,LPV,LMC562.09.20,LPV,False
-3.871476601320879,-1.166122147087995,LPV,LMC562.01.20,LPV,False
-2.294867770010472,-0.8637013395678532,PULS,LMC563.08.7287,RRLYR,False
-2.3289846569117523,-0.8392205869945719,PULS,LMC571.15.5862,DSCT,False
-2.2908107831419944,-0.8827683355237846,PULS,LMC562.18.889,RRLYR,False
